Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales
,Kane & Lynch 2: Dog Days,PS3,2010.0,Shooter,,0.17,0.28,,,,,
,Silent Hill: Shattered Memories,PS2,2010.0,Action,,0.13,0.22,,,,,
,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010.0,Shooter,,0.37,0.15,,,,,
,Enslaved: Odyssey to the West,PS3,2010.0,Action,,0.24,0.24,,,,,
,Assassin's Creed II,PC,2010.0,Action,,0.01,0.45,,,,,
,Harry Potter and the Deathly Hallows - Part 1,Wii,2010.0,Action,,0.22,0.28,,,,,
,Time Crisis: Razing Storm,PS3,2010.0,Shooter,,0.18,0.21,,,,,
,Enslaved: Odyssey to the West,X360,2010.0,Action,,0.3,0.19,,,,,
,Dynasty Warriors: Gundam 3,PS3,2010.0,Action,,0.11,0.05,,,,,
,Metro 2033,X360,2010.0,Shooter,,0.22,0.24,,,,,
,How to Train Your Dragon,DS,2010.0,Action,,0.32,0.17,,,,,
,Prince of Persia Trilogy,PS3,2010.0,Action,,0.17,0.25,,,,,
,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PS3,2010.0,Shooter,,0.24,0.19,,,,,
,NBA 2K11,Wii,2010.0,Action,,0.47,0.01,,,,,
,Kane & Lynch 2: Dog Days,X360,2010.0,Shooter,,0.2,0.23,,,,,
,Bakugan Battle Brawlers: Defenders of the Core,DS,2010.0,Action,,0.42,0.02,,,,,
,Medal of Honor,PC,2010.0,Shooter,,0.2,0.23,,,,,
,James Bond 007: Blood Stone,X360,2010.0,Shooter,,0.2,0.24,,,,,
,FlingSmash,Wii,2010.0,Action,,0.38,0.01,,,,,
,Clash of Elementalists,DS,2010.0,Action,,0.0,0.0,,,,,
,Scooby-Doo! and the Spooky Swamp,Wii,2010.0,Action,,0.29,0.13,,,,,
,Harry Potter and the Deathly Hallows - Part 1,X360,2010.0,Action,,0.21,0.2,,,,,
,Spider-Man: Shattered Dimensions,PS3,2010.0,Action,,0.26,0.13,,,,,
,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010.0,Shooter,,0.17,0.13,,,,,
,Naughty Bear,PS3,2010.0,Action,,0.18,0.18,,,,,
,Barbie: Groom and Glam Pups,DS,2010.0,Action,,0.26,0.14,,,,,
,How to Train Your Dragon,Wii,2010.0,Action,,0.24,0.15,,,,,
,TRON: Evolution,PS3,2010.0,Action,,0.27,0.1,,,,,
,Harry Potter and the Deathly Hallows - Part 1,DS,2010.0,Action,,0.2,0.19,,,,,
,Vanquish,X360,2010.0,Shooter,,0.19,0.17,,,,,
,Tom Clancy's HAWX 2,PS3,2010.0,Action,,0.21,0.12,,,,,
,NBA 2K11,PSP,2010.0,Action,,0.39,0.0,,,,,
,Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,,0.13,0.21,,,,,
,No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,,0.21,0.12,,,,,
,NBA 2K11,PS2,2010.0,Action,,0.34,0.01,,,,,
,Naughty Bear,X360,2010.0,Action,,0.21,0.16,,,,,
,Super Monkey Ball: Step & Roll,Wii,2010.0,Action,,0.17,0.2,,,,,
,Iron Man 2,PS3,2010.0,Action,,0.14,0.19,,,,,
,Mafia II,PC,2010.0,Action,,0.17,0.17,,,,,
,Scooby-Doo! and the Spooky Swamp,DS,2010.0,Action,,0.26,0.1,,,,,
,Iron Man 2,PSP,2010.0,Action,,0.18,0.12,,,,,
,Digging for Dinosaurs,DS,2010.0,Action,,0.35,0.0,,,,,
,Prince of Persia: The Forgotten Sands,PSP,2010.0,Action,,0.09,0.18,,,,,
,Tom Clancy's HAWX 2,X360,2010.0,Action,,0.24,0.09,,,,,
,Spider-Man: Shattered Dimensions,X360,2010.0,Action,,0.24,0.09,,,,,
,Dark Void,PS3,2010.0,Action,,0.18,0.12,,,,,
,The Shoot,PS3,2010.0,Shooter,,0.13,0.16,,,,,
,Iron Man 2,DS,2010.0,Action,,0.15,0.16,,,,,
,Chicken Riot,Wii,2010.0,Action,,0.15,0.16,,,,,
,Iron Man 2,Wii,2010.0,Action,,0.15,0.15,,,,,
,MySims SkyHeroes,DS,2010.0,Action,,0.22,0.08,,,,,
,Clash of the Titans,PS3,2010.0,Action,,0.09,0.16,,,,,
,Army of Two: The 40th Day,PSP,2010.0,Shooter,,0.12,0.13,,,,,
,Phineas and Ferb Ride Again,DS,2010.0,Action,,0.25,0.04,,,,,
,Dark Void,X360,2010.0,Action,,0.19,0.09,,,,,
,TRON: Evolution,X360,2010.0,Action,,0.24,0.05,,,,,
,MySims SkyHeroes,Wii,2010.0,Action,,0.18,0.1,,,,,
,Silent Hill: Shattered Memories,PSP,2010.0,Action,,0.09,0.13,,,,,
,Batman: The Brave and the Bold the Videogame,DS,2010.0,Action,,0.24,0.04,,,,,
,Sengoku Basara: Samurai Heroes,Wii,2010.0,Action,,0.08,0.02,,,,,
,Batman: The Brave and the Bold the Videogame,Wii,2010.0,Action,,0.22,0.06,,,,,
,Front Mission Evolved,PS3,2010.0,Shooter,,0.09,0.07,,,,,
,Kung Zhu,DS,2010.0,Action,,0.26,0.0,,,,,
,Beyblade: Metal Masters,DS,2010.0,Action,,0.16,0.1,,,,,
,Dead to Rights: Retribution,PS3,2010.0,Shooter,,0.1,0.12,,,,,
,Transformers: Cybertron Adventures,Wii,2010.0,Action,,0.15,0.1,,,,,
,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010.0,Action,,0.22,0.04,,,,,
,Iron Man 2,X360,2010.0,Action,,0.15,0.1,,,,,
,The Penguins of Madagascar,DS,2010.0,Action,,0.13,0.12,,,,,
,Scooby-Doo! and the Spooky Swamp,PS2,2010.0,Action,,0.08,0.11,,,,,
,Deadly Premonition,X360,2010.0,Action,,0.18,0.06,,,,,
,Reload: Target Down,Wii,2010.0,Shooter,,0.25,0.0,,,,,
,Create,Wii,2010.0,Action,,0.22,0.03,,,,,
,Prison Break: The Conspiracy,PS3,2010.0,Action,,0.05,0.16,,,,,
,Prince of Persia: The Forgotten Sands,Wii,2010.0,Action,,0.11,0.11,,,,,
,Transformers: War for Cybertron (DS Version),DS,2010.0,Shooter,,0.22,0.01,,,,,
,Spider-Man: Shattered Dimensions,Wii,2010.0,Action,,0.13,0.09,,,,,
,Metro 2033,PC,2010.0,Shooter,,0.0,0.19,,,,,
,The Lord of the Rings: Aragorn's Quest,Wii,2010.0,Action,,0.17,0.05,,,,,
,Star Wars: The Force Unleashed II,DS,2010.0,Action,,0.18,0.04,,,,,
,All Star Karate,Wii,2010.0,Action,,0.14,0.07,,,,,
,Marvel Super Hero Squad: The Infinity Gauntlet,DS,2010.0,Action,,0.17,0.03,,,,,
,Barbie: Groom and Glam Pups,Wii,2010.0,Action,,0.19,0.02,,,,,
,Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,2010.0,Action,,0.0,0.0,,,,,
,Prison Break: The Conspiracy,X360,2010.0,Action,,0.07,0.12,,,,,
,The Last Airbender,Wii,2010.0,Action,,0.12,0.07,,,,,
,Greg Hastings Paintball 2,X360,2010.0,Shooter,,0.19,0.0,,,,,
,Dead to Rights: Retribution,X360,2010.0,Shooter,,0.11,0.08,,,,,
,Kung Fu Rider,PS3,2010.0,Action,,0.06,0.1,,,,,
,Front Mission Evolved,X360,2010.0,Shooter,,0.1,0.07,,,,,
,No More Heroes: Heroes' Paradise,PS3,2010.0,Action,,0.1,0.04,,,,,
,Saw II: Flesh & Blood,PS3,2010.0,Action,,0.1,0.07,,,,,
,Aliens vs Predator,PC,2010.0,Shooter,,0.0,0.17,,,,,
,Quantum Theory,PS3,2010.0,Shooter,,0.05,0.09,,,,,
,Dante's Inferno,PSP,2010.0,Action,,0.12,0.03,,,,,
,Spider-Man: Shattered Dimensions,DS,2010.0,Action,,0.17,0.01,,,,,
,Kenka Banchou 4: Ichinen Sensou,PSP,2010.0,Action,,0.0,0.0,,,,,
,NBA 2K11,PC,2010.0,Action,,0.18,0.0,,,,,
,The Last Airbender,DS,2010.0,Action,,0.13,0.04,,,,,
,How to Train Your Dragon,PS3,2010.0,Action,,0.12,0.04,,,,,
,Splatterhouse,X360,2010.0,Action,,0.14,0.03,,,,,
,Dynasty Warriors: Gundam 3,X360,2010.0,Action,,0.11,0.04,,,,,
,TRON: Evolution,DS,2010.0,Action,,0.12,0.04,,,,,
,Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010.0,Action,,0.12,0.03,,,,,
,Tamagotchi no Narikiri Challenge,DS,2010.0,Action,,0.0,0.0,,,,,
,The Lord of the Rings: Aragorn's Quest,PS3,2010.0,Action,,0.1,0.04,,,,,
,N3 II: Ninety-Nine Nights,X360,2010.0,Action,,0.06,0.07,,,,,
,Gundam Assault Survive,PSP,2010.0,Action,,0.0,0.0,,,,,
,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action,,0.15,0.01,,,,,
,Bakugan Battle Brawlers: Defenders of the Core,PS3,2010.0,Action,,0.14,0.01,,,,,
,Gunslingers,Wii,2010.0,Shooter,,0.08,0.06,,,,,
,Create,PS3,2010.0,Action,,0.11,0.03,,,,,
,Clash of the Titans,X360,2010.0,Action,,0.08,0.06,,,,,
,Around the World in 80 Days,DS,2010.0,Action,,0.0,0.14,,,,,
,Kid Adventures: Sky Captain,Wii,2010.0,Action,,0.11,0.04,,,,,
,Dragon Ball: Origins 2,DS,2010.0,Action,,0.05,0.02,,,,,
,Rudolph the Red-Nosed Reindeer,Wii,2010.0,Action,,0.15,0.0,,,,,
,Sniper: Ghost Warrior,PC,2010.0,Shooter,,0.0,0.13,,,,,
,Saw II: Flesh & Blood,X360,2010.0,Action,,0.1,0.04,,,,,
,Rudolph the Red-Nosed Reindeer,DS,2010.0,Action,,0.15,0.0,,,,,
,Megamind: Ultimate Showdown,PS3,2010.0,Action,,0.07,0.06,,,,,
,Fist of the North Star: Ken's Rage,X360,2010.0,Action,,0.07,0.02,,,,,
,Prince of Persia: The Forgotten Sands,DS,2010.0,Action,,0.14,0.01,,,,,
,Deadly Premonition,PS3,2010.0,Action,,0.08,0.05,,,,,
,Sonny with a Chance,DS,2010.0,Action,,0.12,0.02,,,,,
,Marvel Super Hero Squad: The Infinity Gauntlet,X360,2010.0,Action,,0.12,0.02,,,,,
,Darksiders,PC,2010.0,Action,,0.07,0.06,,,,,
,GoldenEye 007 (2010),DS,2010.0,Action,,0.11,0.03,,,,,
,Bakugan Battle Brawlers: Defenders of the Core,PSP,2010.0,Action,,0.09,0.04,,,,,
,Bakugan Battle Brawlers: Defenders of the Core,X360,2010.0,Action,,0.11,0.02,,,,,
,Haunted House,Wii,2010.0,Action,,0.13,0.0,,,,,
,Legend of the Guardians: The Owls of Ga'Hoole,DS,2010.0,Action,,0.11,0.02,,,,,
,Yogi Bear: The Video Game,DS,2010.0,Action,,0.1,0.03,,,,,
,How to Train Your Dragon,X360,2010.0,Action,,0.11,0.02,,,,,
,Create,X360,2010.0,Action,,0.1,0.03,,,,,
,Dead Rising 2,PC,2010.0,Action,,0.1,0.02,,,,,
,Tom Clancy's Ghost Recon,Wii,2010.0,Shooter,,0.11,0.01,,,,,
,Bakugan: Battle Trainer,DS,2010.0,Action,,0.12,0.0,,,,,
,Greg Hastings Paintball 2,Wii,2010.0,Shooter,,0.12,0.0,,,,,
,Naruto Shippuden: Kizuna Drive,PSP,2010.0,Action,,0.04,0.02,,,,,
,TRON: Evolution,PSP,2010.0,Action,,0.09,0.02,,,,,
,Borderlands: Double Game Add-On Pack,X360,2010.0,Shooter,,0.1,0.02,,,,,
,Just Cause 2,PC,2010.0,Action,,0.0,0.1,,,,,
,Transformers: War for Cybertron -- Decepticons,DS,2010.0,Action,,0.11,0.01,,,,,
,Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010.0,Action,,0.11,0.01,,,,,
,Tamagotchi no Pichi Pichi Omisecchi,DS,2010.0,Action,,0.0,0.0,,,,,
,Gladiator Begins,PSP,2010.0,Action,,0.05,0.01,,,,,
,The Lord of the Rings: Aragorn's Quest,DS,2010.0,Action,,0.1,0.02,,,,,
,Megamind: Ultimate Showdown,X360,2010.0,Action,,0.07,0.04,,,,,
,The God of War Trilogy,PS3,2010.0,Action,,0.0,0.07,,,,,
,Fat Princess: Fistful of Cake,PSP,2010.0,Action,,0.08,0.02,,,,,
,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,2010.0,Shooter,,0.0,0.0,,,,,
,Sniper Elite,Wii,2010.0,Shooter,,0.08,0.03,,,,,
,Dementium II,DS,2010.0,Shooter,,0.09,0.02,,,,,
,The Lord of the Rings: Aragorn's Quest,PSP,2010.0,Action,,0.07,0.02,,,,,
,Yogi Bear: The Video Game,Wii,2010.0,Action,,0.06,0.05,,,,,
,Heart Catch PreCure! Oshare Collection,DS,2010.0,Action,,0.0,0.0,,,,,
,Shin Sangoku Musou: Multi Raid 2,PSP,2010.0,Action,,0.0,0.0,,,,,
,MySims SkyHeroes,PS3,2010.0,Action,,0.08,0.02,,,,,
,Zangeki no Reginleiv,Wii,2010.0,Action,,0.0,0.0,,,,,
,Cats & Dogs: The Revenge of Kitty Galore,DS,2010.0,Action,,0.1,0.0,,,,,
,Attack of the Movies 3D,Wii,2010.0,Shooter,,0.1,0.0,,,,,
,Tom Clancy's Splinter Cell: Conviction,PC,2010.0,Action,,0.0,0.08,,,,,
,Tom Clancy's HAWX 2,Wii,2010.0,Action,,0.07,0.03,,,,,
,The Story of Noah's Ark,DS,2010.0,Action,,0.1,0.0,,,,,
,Tom Clancy's Ghost Recon: Predator,PSP,2010.0,Shooter,,0.07,0.02,,,,,
,Harry Potter and the Deathly Hallows - Part 1,PC,2010.0,Action,,0.08,0.02,,,,,
,MySims SkyHeroes,X360,2010.0,Action,,0.09,0.0,,,,,
,Ghostbusters: The Video Game (DS Version),PC,2010.0,Action,,0.0,0.08,,,,,
,NERF N-Strike: Double Blast Bundle,Wii,2010.0,Shooter,,0.09,0.0,,,,,
,Quantum Theory,X360,2010.0,Shooter,,0.06,0.02,,,,,
,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010.0,Action,,0.0,0.0,,,,,
,America's Next Top Model,Wii,2010.0,Action,,0.08,0.0,,,,,
,Diego's Build & Rescue,DS,2010.0,Action,,0.07,0.0,,,,,
,Man vs. Wild,PS3,2010.0,Action,,0.07,0.0,,,,,
,Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010.0,Action,,0.06,0.01,,,,,
,Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010.0,Shooter,,0.06,0.01,,,,,
,Daniel X: The Ultimate Power,DS,2010.0,Action,,0.07,0.0,,,,,
,Legend of the Guardians: The Owls of Ga'Hoole,X360,2010.0,Action,,0.06,0.01,,,,,
,Busou Shinki: Battle Masters,PSP,2010.0,Action,,0.0,0.0,,,,,
,Kane & Lynch 2: Dog Days,PC,2010.0,Shooter,,0.0,0.06,,,,,
,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,2010.0,Action,,0.0,0.0,,,,,
,Alpha and Omega,DS,2010.0,Action,,0.06,0.0,,,,,
,James Bond 007: Blood Stone,DS,2010.0,Shooter,,0.05,0.01,,,,,
,TRON: Evolution,PC,2010.0,Action,,0.06,0.0,,,,,
,Ikki Tousen: Xross Impact,PSP,2010.0,Action,,0.0,0.0,,,,,
,Legend of Kay,DS,2010.0,Action,,0.06,0.0,,,,,
,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,2010.0,Action,,0.0,0.0,,,,,
,Pheasants Forever Wingshooter,Wii,2010.0,Shooter,,0.03,0.02,,,,,
,Create,PC,2010.0,Action,,0.04,0.01,,,,,
,Call of Duty: The War Collection,X360,2010.0,Shooter,,0.05,0.0,,,,,
,Syphon Filter: Logan's Shadow,PS2,2010.0,Shooter,,0.03,0.02,,,,,
,Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,2010.0,Action,,0.0,0.0,,,,,
,The Lord of the Rings: Aragorn's Quest,PS2,2010.0,Action,,0.03,0.02,,,,,
,Shin Sangoku Musou 5 Empires,PSP,2010.0,Action,,0.0,0.0,,,,,
,Front Mission Evolved,PC,2010.0,Shooter,,0.05,0.0,,,,,
,Tom Clancy's HAWX 2,PC,2010.0,Action,,0.0,0.04,,,,,
,Metal Fight Beyblade: Bakugami Susanoh Shuurai!,DS,2010.0,Action,,0.0,0.0,,,,,
,DoDonPachi Resurrection,X360,2010.0,Shooter,,0.0,0.05,,,,,
,MorphX,X360,2010.0,Shooter,,0.05,0.0,,,,,
,Singularity,PC,2010.0,Shooter,,0.0,0.04,,,,,
,Rock of the Dead,PS3,2010.0,Shooter,,0.04,0.0,,,,,
,Rock of the Dead,X360,2010.0,Shooter,,0.04,0.0,,,,,
,Playmobil Top Agents,DS,2010.0,Action,,0.0,0.04,,,,,
,Attack of the Movies 3D,X360,2010.0,Shooter,,0.04,0.0,,,,,
,Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010.0,Action,,0.0,0.0,,,,,
,Espgaluda II Black Label,X360,2010.0,Shooter,,0.0,0.0,,,,,
,Greg Hastings Paintball 2,PS3,2010.0,Shooter,,0.03,0.0,,,,,
,Marines: Modern Urban Combat,Wii,2010.0,Shooter,,0.03,0.0,,,,,
,Prince of Persia: The Forgotten Sands,PC,2010.0,Action,,0.0,0.03,,,,,
,Boot Camp Academy,Wii,2010.0,Action,,0.03,0.0,,,,,
,Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010.0,Action,,0.0,0.0,,,,,
,Keshisasu-Kun: Battle Kas-tival,DS,2010.0,Action,,0.0,0.0,,,,,
,Star Wars: The Force Unleashed II,PC,2010.0,Action,,0.03,0.0,,,,,
,DeathSmiles II,X360,2010.0,Shooter,,0.0,0.0,,,,,
,Lost Planet 2,PC,2010.0,Shooter,,0.0,0.02,,,,,
,No More Heroes: Heroes' Paradise,X360,2010.0,Action,,0.0,0.0,,,,,
,LEGO Harry Potter: Years 1-4,PC,2010.0,Action,,0.01,0.01,,,,,
,Strike Witches 2: Iyasu Naosu Punipunisuru,DS,2010.0,Action,,0.0,0.0,,,,,
,Kingdom: Ikkitousen no Ken,PSP,2010.0,Action,,0.0,0.0,,,,,
,Serious Sam HD: Gold Edition,PC,2010.0,Shooter,,0.0,0.02,,,,,
,Darksiders,PS3,2010.0,Action,,0.01,0.01,,,,,
,Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days,PS2,2010.0,Action,,0.0,0.0,,,,,
,Wild West Shootout,Wii,2010.0,Shooter,,0.01,0.01,,,,,
,Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,2010.0,Action,,0.0,0.0,,,,,
,SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,DS,2010.0,Action,,0.0,0.0,,,,,
,Ketsui: Kizuna Jigoku Tachi Extra,X360,2010.0,Shooter,,0.0,0.0,,,,,
,James Bond 007: Blood Stone,PC,2010.0,Shooter,,0.02,0.0,,,,,
,Pirates PlundArrr,Wii,2010.0,Action,,0.02,0.0,,,,,
,Marvel Superheroes 3D: Grandmaster's Challenge,Wii,2010.0,Action,,0.0,0.01,,,,,
,Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,2010.0,Action,,0.0,0.0,,,,,
,Dark Void,PC,2010.0,Action,,0.0,0.01,,,,,
,Shin Sangoku Musou Online: Souten Ranbu,PS3,2010.0,Action,,0.0,0.0,,,,,
,Monkey Madness: Island Escape,DS,2010.0,Action,,0.01,0.0,,,,,
,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PC,2010.0,Shooter,,0.01,0.0,,,,,
,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,,9.03,4.28,,,,,
,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,,5.54,5.82,,,,,
,Battlefield 3,X360,2011.0,Shooter,,4.46,2.13,,,,,
,Battlefield 3,PS3,2011.0,Shooter,,2.85,2.93,,,,,
,Uncharted 3: Drake's Deception,PS3,2011.0,Action,,2.77,2.8,,,,,
,Gears of War 3,X360,2011.0,Shooter,,4.05,1.62,,,,,
,Batman: Arkham City,PS3,2011.0,Action,,2.7,1.91,,,,,
,Batman: Arkham City,X360,2011.0,Action,,2.99,1.31,,,,,
,Assassin's Creed: Revelations,PS3,2011.0,Action,,1.41,2.02,,,,,
,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,,2.03,1.27,,,,,
,Assassin's Creed: Revelations,X360,2011.0,Action,,2.25,1.47,,,,,
,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,,2.14,1.2,,,,,
,Skylanders: Spyro's Adventure,Wii,2011.0,Action,,1.4,1.14,,,,,
,Killzone 3,PS3,2011.0,Shooter,,1.45,0.88,,,,,
,Battlefield 3,PC,2011.0,Shooter,,0.89,1.43,,,,,
,Saints Row: The Third,X360,2011.0,Action,,1.25,1.15,,,,,
,Saints Row: The Third,PS3,2011.0,Action,,0.86,1.06,,,,,
,Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,,1.44,0.73,,,,,
,Dead Island,X360,2011.0,Action,,1.48,0.71,,,,,
,Dead Island,PS3,2011.0,Action,,1.08,0.75,,,,,
,Pro Evolution Soccer 2012,PS3,2011.0,Action,,0.34,0.97,,,,,
,Portal 2,X360,2011.0,Shooter,,1.41,0.51,,,,,
,Need for Speed: The Run,PS3,2011.0,Action,,0.58,1.06,,,,,
,LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action,,1.08,0.66,,,,,
,inFAMOUS 2,PS3,2011.0,Action,,1.05,0.49,,,,,
,Portal 2,PS3,2011.0,Shooter,,0.83,0.63,,,,,
