,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,NA_Cumulative_Sales,Cumulative_NA_Sales,Cumulative_JP_Sales
2696,,NASCAR Heat 2002,XB,2001.0,Racing,,0.15,0.04,,,,,,16.339999999999996,
2699,,Dave Mirra Freestyle BMX 2,XB,2001.0,Sports,,0.15,0.04,,,,,,16.489999999999995,
2709,,AirForce Delta Storm,XB,2001.0,Shooter,,0.14,0.04,,,,,,16.629999999999995,
2711,,Test Drive Off-Road Wide Open,XB,2001.0,Racing,,0.15,0.03,,,,,,16.779999999999994,
2746,,Mad Dash Racing,XB,2001.0,Racing,,0.11,0.03,,,,,,16.889999999999993,
2771,,MX 2002 Featuring Ricky Carmichael,XB,2001.0,Racing,,0.1,0.03,,,,,,16.989999999999995,
2780,,Cel Damage,XB,2001.0,Racing,,0.09,0.03,,,,,,17.079999999999995,
2787,,Arctic Thunder,XB,2001.0,Racing,,0.09,0.02,,,,,,17.169999999999995,
2793,,Dark Summit,XB,2001.0,Sports,,0.08,0.02,,,,,,17.249999999999993,
2834,,Kabuki Warriors,XB,2001.0,Action,,0.05,0.01,,,,,,17.299999999999994,
2835,,F1 2001,XB,2001.0,Racing,,0.05,0.01,,,,,,17.349999999999994,
2934,,Tom Clancy's Splinter Cell,XB,2002.0,Action,,1.85,1.04,,,,,,19.199999999999996,
2939,,The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,,2.09,0.63,,,,,,21.289999999999996,
2951,,Project Gotham Racing (JP weekly sales),XB,2002.0,Action,,1.54,0.44,,,,,,22.829999999999995,
2962,,Tom Clancy's Ghost Recon,XB,2002.0,Shooter,,1.23,0.46,,,,,,24.059999999999995,
2977,,Medal of Honor: Frontline,XB,2002.0,Shooter,,1.0,0.43,,,,,,25.059999999999995,
2981,,Spider-Man: The Movie,XB,2002.0,Action,,1.07,0.28,,,,,,26.129999999999995,
2994,,Crash Bandicoot: The Wrath of Cortex,XB,2002.0,Platform,,0.59,0.57,,,,,,26.719999999999995,
3003,,MechAssault,XB,2002.0,Simulation,,1.01,0.1,,,,,,27.729999999999997,
3014,,Mortal Kombat: Deadly Alliance,XB,2002.0,Fighting,,0.77,0.15,,,,,,28.499999999999996,
3016,,Tony Hawk's Pro Skater 4,XB,2002.0,Sports,,0.59,0.3,,,,,,29.089999999999996,
3020,,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,,0.65,0.22,,,,,,29.739999999999995,
3021,,Conflict: Desert Storm,XB,2002.0,Shooter,,0.48,0.37,,,,,,30.219999999999995,
3026,,James Bond 007: Nightfire,XB,2002.0,Shooter,,0.58,0.22,,,,,,30.799999999999994,
3027,,Need for Speed: Hot Pursuit 2,XB,2002.0,Racing,,0.68,0.11,,,,,,31.479999999999993,
3039,,Unreal Championship,XB,2002.0,Shooter,,0.59,0.12,,,,,,32.06999999999999,
3041,,Dead to Rights,XB,2002.0,Shooter,,0.53,0.17,,,,,,32.599999999999994,
3043,,The Lord of the Rings: The Two Towers,XB,2002.0,Action,,0.45,0.24,,,,,,33.05,
3044,,Madden NFL 2003,XB,2002.0,Sports,,0.67,0.02,,,,,,33.72,
3057,,TimeSplitters 2,XB,2002.0,Shooter,,0.29,0.33,,,,,,34.01,
3059,,FIFA Soccer 2003,XB,2002.0,Sports,,0.2,0.4,,,,,,34.21,
3063,,NFL Fever 2003,XB,2002.0,Sports,,0.46,0.13,,,,,,34.67,
3075,,Wreckless: ThE YaKuza MisSiOns,XB,2002.0,Racing,,0.42,0.11,,,,,,35.09,
3077,,RalliSport Challenge,XB,2002.0,Racing,,0.39,0.16,,,,,,35.480000000000004,
3080,,Blinx: The Time Sweeper,XB,2002.0,Platform,,0.39,0.15,,,,,,35.870000000000005,
3081,,WWF Raw,XB,2002.0,Fighting,,0.4,0.13,,,,,,36.27,
3082,,Tony Hawk's Pro Skater 3,XB,2002.0,Sports,,0.34,0.18,,,,,,36.61000000000001,
3085,,Turok: Evolution,XB,2002.0,Shooter,,0.39,0.14,,,,,,37.00000000000001,
3087,,The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,,0.31,0.19,,,,,,37.31000000000001,
3090,,NCAA Football 2003,XB,2002.0,Sports,,0.39,0.11,,,,,,37.70000000000001,
3092,,NFL 2K3,XB,2002.0,Sports,,0.38,0.11,,,,,,38.08000000000001,
3103,,Pac-Man World 2,XB,2002.0,Action,,0.36,0.11,,,,,,38.44000000000001,
3119,,Tiger Woods PGA Tour 2003,XB,2002.0,Sports,,0.35,0.08,,,,,,38.79000000000001,
3124,,Star Wars: Jedi Starfighter,XB,2002.0,Simulation,,0.35,0.07,,,,,,39.140000000000015,
3130,,Test Drive,XB,2002.0,Racing,,0.35,0.05,,,,,,39.490000000000016,
3140,,The House of The Dead III,XB,2002.0,Shooter,,0.29,0.08,,,,,,39.780000000000015,
3149,,Hunter: The Reckoning,XB,2002.0,Action,,0.28,0.08,,,,,,40.06000000000002,
3150,,NBA Inside Drive 2002,XB,2002.0,Sports,,0.28,0.08,,,,,,40.34000000000002,
3157,,Harry Potter and the Chamber of Secrets,XB,2002.0,Action,,0.27,0.08,,,,,,40.61000000000002,
3164,,Spy Hunter,XB,2002.0,Racing,,0.25,0.07,,,,,,40.86000000000002,
3172,,NBA 2K3,XB,2002.0,Sports,,0.24,0.07,,,,,,41.10000000000002,
3175,,Shenmue II,XB,2002.0,Adventure,,0.22,0.08,,,,,,41.32000000000002,
3176,,NBA Inside Drive 2003,XB,2002.0,Sports,,0.23,0.07,,,,,,41.55000000000002,
3181,,Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,,0.23,0.07,,,,,,41.780000000000015,
3189,,Outlaw Golf,XB,2002.0,Sports,,0.22,0.06,,,,,,42.000000000000014,
3195,,Street Hoops,XB,2002.0,Sports,,0.21,0.06,,,,,,42.210000000000015,
3211,,NASCAR Thunder 2003,XB,2002.0,Racing,,0.2,0.06,,,,,,42.41000000000002,
3213,,Knockout Kings 2002,XB,2002.0,Sports,,0.2,0.06,,,,,,42.61000000000002,
3216,,Panzer Dragoon Orta,XB,2002.0,Shooter,,0.16,0.05,,,,,,42.77000000000002,
3229,,All-Star Baseball 2003,XB,2002.0,Sports,,0.19,0.06,,,,,,42.960000000000015,
3233,,Triple Play 2002,XB,2002.0,Sports,,0.19,0.05,,,,,,43.15000000000001,
3243,,Genma Onimusha,XB,2002.0,Action,,0.14,0.04,,,,,,43.29000000000001,
3246,,Buffy the Vampire Slayer,XB,2002.0,Action,,0.18,0.05,,,,,,43.47000000000001,
3247,,World Series Baseball,XB,2002.0,Sports,,0.17,0.05,,,,,,43.640000000000015,
3262,,Nickelodeon Party Blast,XB,2002.0,Misc,,0.16,0.05,,,,,,43.80000000000001,
3271,,BloodRayne,XB,2002.0,Shooter,,0.16,0.05,,,,,,43.96000000000001,
3275,,JSRF: Jet Set Radio Future,XB,2002.0,Action,,0.13,0.04,,,,,,44.09000000000001,
3277,,NHL 2003,XB,2002.0,Sports,,0.15,0.04,,,,,,44.24000000000001,
3283,,Crazy Taxi 3: High Roller,XB,2002.0,Racing,,0.14,0.04,,,,,,44.38000000000001,
3284,,MLB SlugFest 20-03,XB,2002.0,Sports,,0.15,0.04,,,,,,44.53000000000001,
3285,,NBA 2K2,XB,2002.0,Sports,,0.15,0.04,,,,,,44.68000000000001,
3288,,Mat Hoffman's Pro BMX 2,XB,2002.0,Sports,,0.15,0.04,,,,,,44.830000000000005,
3293,,The Thing,XB,2002.0,Adventure,,0.15,0.04,,,,,,44.980000000000004,
3294,,Baldur's Gate: Dark Alliance,XB,2002.0,Role-Playing,,0.15,0.04,,,,,,45.13,
3295,,UFC: Tapout,XB,2002.0,Fighting,,0.14,0.05,,,,,,45.27,
3297,,Big Mutha Truckers,XB,2002.0,Racing,,0.15,0.04,,,,,,45.42,
3303,,2002 FIFA World Cup,XB,2002.0,Sports,,0.14,0.04,,,,,,45.56,
3310,,Sega GT 2002,XB,2002.0,Racing,,0.12,0.03,,,,,,45.68,
3311,,Blood Omen 2,XB,2002.0,Action,,0.14,0.04,,,,,,45.82,
3313,,Star Wars: The Clone Wars & Tetris Worlds,XB,2002.0,Misc,,0.14,0.04,,,,,,45.96,
3314,,Ty the Tasmanian Tiger,XB,2002.0,Platform,,0.14,0.04,,,,,,46.1,
3315,,Monopoly Party,XB,2002.0,Misc,,0.14,0.04,,,,,,46.24,
3323,,NFL 2K2,XB,2002.0,Sports,,0.13,0.04,,,,,,46.370000000000005,
3329,,Gunvalkyrie,XB,2002.0,Shooter,,0.13,0.04,,,,,,46.50000000000001,
3331,,Gauntlet: Dark Legacy,XB,2002.0,Action,,0.13,0.04,,,,,,46.63000000000001,
3349,,The Terminator: Dawn of Fate,XB,2002.0,Action,,0.11,0.03,,,,,,46.74000000000001,
3350,,Serious Sam,XB,2002.0,Shooter,,0.11,0.03,,,,,,46.85000000000001,
3353,,Rocky,XB,2002.0,Fighting,,0.11,0.03,,,,,,46.96000000000001,
3362,,NCAA College Basketball 2K3,XB,2002.0,Sports,,0.11,0.03,,,,,,47.07000000000001,
3363,,NFL Blitz 20-03,XB,2002.0,Sports,,0.11,0.03,,,,,,47.18000000000001,
3373,,Enclave,XB,2002.0,Adventure,,0.11,0.03,,,,,,47.290000000000006,
3380,,Marvel vs. Capcom 2: New Age of Heroes,XB,2002.0,Fighting,,0.09,0.03,,,,,,47.38000000000001,
3384,,Legends of Wrestling,XB,2002.0,Fighting,,0.1,0.03,,,,,,47.48000000000001,
3386,,Blade II,XB,2002.0,Action,,0.1,0.03,,,,,,47.58000000000001,
3388,,Superman: The Man of Steel,XB,2002.0,Action,,0.1,0.03,,,,,,47.680000000000014,
3392,,Shrek Super Party,XB,2002.0,Misc,,0.1,0.03,,,,,,47.780000000000015,
3394,,NightCaster,XB,2002.0,Action,,0.1,0.03,,,,,,47.88000000000002,
3396,,Otogi: Myth of Demons,XB,2002.0,Action,,0.08,0.02,,,,,,47.960000000000015,
3405,,Burnout,XB,2002.0,Racing,,0.09,0.03,,,,,,48.05000000000002,
3406,,Quantum Redshift,XB,2002.0,Racing,,0.09,0.03,,,,,,48.14000000000002,
3407,,Legends of Wrestling II,XB,2002.0,Fighting,,0.09,0.03,,,,,,48.230000000000025,
3413,,Chase: Hollywood Stunt Driver,XB,2002.0,Racing,,0.09,0.03,,,,,,48.32000000000003,
3421,,NHL 2K3,XB,2002.0,Sports,,0.09,0.02,,,,,,48.41000000000003,
3424,,SplashDown,XB,2002.0,Racing,,0.09,0.02,,,,,,48.500000000000036,
3425,,ToeJam & Earl III: Mission to Earth,XB,2002.0,Action,,0.09,0.02,,,,,,48.59000000000004,
3430,,NHL Hitz 20-03,XB,2002.0,Sports,,0.08,0.02,,,,,,48.67000000000004,
3431,,Murakumo: Renegade Mech Pursuit,XB,2002.0,Shooter,,0.04,0.01,,,,,,48.710000000000036,
3432,,Gun Metal,XB,2002.0,Shooter,,0.08,0.02,,,,,,48.790000000000035,
3446,,Outlaw Golf: Nine Holes of Christmas,XB,2002.0,Sports,,0.08,0.02,,,,,,48.87000000000003,
3447,,X-Men: Next Dimension,XB,2002.0,Fighting,,0.08,0.02,,,,,,48.95000000000003,
3450,,BMX XXX,XB,2002.0,Sports,,0.08,0.02,,,,,,49.03000000000003,
3463,,Kelly Slater's Pro Surfer,XB,2002.0,Sports,,0.08,0.02,,,,,,49.11000000000003,
3465,,Sneakers,XB,2002.0,Puzzle,,0.07,0.02,,,,,,49.18000000000003,
3467,,Reign of Fire,XB,2002.0,Shooter,,0.07,0.02,,,,,,49.25000000000003,
3470,,Steel Battalion,XB,2002.0,Simulation,,0.05,0.02,,,,,,49.300000000000026,
3471,,MX SuperFly featuring Ricky Carmichael,XB,2002.0,Racing,,0.07,0.02,,,,,,49.370000000000026,
3472,,Minority Report: Everybody Runs,XB,2002.0,Action,,0.07,0.02,,,,,,49.440000000000026,
3474,,Whacked!,XB,2002.0,Misc,,0.07,0.02,,,,,,49.510000000000026,
3476,,NFL Blitz 20-02,XB,2002.0,Sports,,0.07,0.02,,,,,,49.58000000000003,
3478,,MotoGP,XB,2002.0,Racing,,0.07,0.02,,,,,,49.65000000000003,
3483,,New Legends,XB,2002.0,Action,,0.07,0.02,,,,,,49.72000000000003,
3491,,Defender,XB,2002.0,Misc,,0.07,0.02,,,,,,49.79000000000003,
3493,,Transworld Snowboarding,XB,2002.0,Sports,,0.07,0.02,,,,,,49.86000000000003,
3495,,Crimson Sea,XB,2002.0,Action,,0.04,0.01,,,,,,49.90000000000003,
3500,,Prisoner of War,XB,2002.0,Adventure,,0.06,0.02,,,,,,49.96000000000003,
3511,,Fireblade,XB,2002.0,Action,,0.06,0.02,,,,,,50.02000000000003,
3520,,Frogger Beyond,XB,2002.0,Platform,,0.06,0.02,,,,,,50.080000000000034,
3525,,Dynasty Warriors 3,XB,2002.0,Action,,0.06,0.02,,,,,,50.140000000000036,
3531,,Commandos 2: Men of Courage,XB,2002.0,Strategy,,0.05,0.02,,,,,,50.19000000000003,
3532,,Maximum Chase,XB,2002.0,Racing,,0.05,0.02,,,,,,50.24000000000003,
3533,,Circus Maximus: Chariot Wars,XB,2002.0,Racing,,0.05,0.02,,,,,,50.29000000000003,
3534,,James Cameron's Dark Angel,XB,2002.0,Action,,0.05,0.02,,,,,,50.340000000000025,
3538,,Loons: The Fight For Fame,XB,2002.0,Action,,0.05,0.02,,,,,,50.39000000000002,
3539,,Totaled!,XB,2002.0,Racing,,0.05,0.02,,,,,,50.44000000000002,
3540,,Taz Wanted,XB,2002.0,Platform,,0.05,0.02,,,,,,50.490000000000016,
3552,,Pirates: The Legend of Black Kat,XB,2002.0,Adventure,,0.05,0.01,,,,,,50.54000000000001,
3554,,Aggressive Inline,XB,2002.0,Sports,,0.05,0.01,,,,,,50.59000000000001,
3558,,Deathrow: Underground Team Combat,XB,2002.0,Sports,,0.05,0.01,,,,,,50.64000000000001,
3570,,Myst III: Exile,XB,2002.0,Adventure,,0.04,0.01,,,,,,50.68000000000001,
3571,,Fatal Frame,XB,2002.0,Action,,0.04,0.01,,,,,,50.720000000000006,
3575,,Dr. Muto,XB,2002.0,Platform,,0.04,0.01,,,,,,50.760000000000005,
3580,,SeaBlade,XB,2002.0,Shooter,,0.04,0.01,,,,,,50.800000000000004,
3585,,Sega Soccer Slam,XB,2002.0,Sports,,0.04,0.01,,,,,,50.84,
3590,,Zapper: One Wicked Cricket!,XB,2002.0,Platform,,0.04,0.01,,,,,,50.88,
3592,,Dragon's Lair 3D: Return to the Lair,XB,2002.0,Platform,,0.04,0.01,,,,,,50.92,
3595,,Rally Fusion: Race of Champions,XB,2002.0,Racing,,0.04,0.01,,,,,,50.96,
3600,,Phantom Crash,XB,2002.0,Simulation,,0.03,0.01,,,,,,50.99,
3613,,Kakuto Chojin,XB,2002.0,Fighting,,0.04,0.01,,,,,,51.03,
3614,,Shin Megami Tensei NINE,XB,2002.0,Role-Playing,,0.0,0.0,,,,,,51.03,
3615,,NightCaster II: Equinox,XB,2002.0,Action,,0.03,0.01,,,,,,51.06,
3619,,Mike Tyson Heavyweight Boxing,XB,2002.0,Sports,,0.03,0.01,,,,,,51.09,
3628,,Tennis Masters Series 2003,XB,2002.0,Sports,,0.03,0.01,,,,,,51.120000000000005,
3636,,Colin McRae Rally 3,XB,2002.0,Racing,,0.03,0.01,,,,,,51.150000000000006,
3644,,Smashing Drive,XB,2002.0,Racing,,0.03,0.01,,,,,,51.18000000000001,
3646,,RedCard 20-03,XB,2002.0,Sports,,0.03,0.01,,,,,,51.21000000000001,
3663,,Metal Dungeon,XB,2002.0,Role-Playing,,0.02,0.01,,,,,,51.23000000000001,
3665,,Whiteout,XB,2002.0,Racing,,0.02,0.01,,,,,,51.250000000000014,
3668,,ESPN Winter X Games: Snowboarding 2002,XB,2002.0,Sports,,0.02,0.01,,,,,,51.27000000000002,
3676,,NBA Starting Five,XB,2002.0,Sports,,0.02,0.01,,,,,,51.29000000000002,
3680,,Total Immersion Racing,XB,2002.0,Racing,,0.02,0.01,,,,,,51.310000000000024,
3685,,Toxic Grind,XB,2002.0,Sports,,0.02,0.0,,,,,,51.33000000000003,
3701,,ESPN MLS ExtraTime 2002,XB,2002.0,Sports,,0.01,0.0,,,,,,51.340000000000025,
3703,,ESPN NFL Primetime 2002,XB,2002.0,Sports,,0.01,0.0,,,,,,51.35000000000002,
3717,,Antz Extreme Racing,XB,2002.0,Racing,,0.01,0.0,,,,,,51.36000000000002,
3723,,Egg Mania: Eggstreme Madness,XB,2002.0,Puzzle,,0.01,0.0,,,,,,51.37000000000002,
3727,,WTA Tour Tennis,XB,2002.0,Sports,,0.01,0.0,,,,,,51.38000000000002,
3733,,RalliSport Challenge(JP sales),XB,2002.0,Racing,,0.0,0.0,,,,,,51.38000000000002,
3736,,Super Bubble Pop,XB,2002.0,Puzzle,,0.01,0.0,,,,,,51.390000000000015,
3738,,ESPN NBA 2Night 2002,XB,2002.0,Sports,,0.01,0.0,,,,,,51.40000000000001,
3764,,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,,1.84,0.56,,,,,,53.240000000000016,
3768,,Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,,1.68,0.44,,,,,,54.920000000000016,
3786,,Need for Speed Underground,XB,2003.0,Racing,,1.09,0.55,,,,,,56.01000000000002,
3789,,PGR: Project Gotham Racing 2,XB,2003.0,Racing,,0.97,0.59,,,,,,56.98000000000002,
3796,,Tom Clancy's Rainbow Six 3,XB,2003.0,Shooter,,0.91,0.57,,,,,,57.890000000000015,
3805,,True Crime: Streets of LA,XB,2003.0,Action,,0.96,0.37,,,,,,58.850000000000016,
3807,,The Simpsons: Hit & Run,XB,2003.0,Racing,,0.7,0.58,,,,,,59.55000000000002,
3813,,Tony Hawk's Underground,XB,2003.0,Sports,,0.85,0.37,,,,,,60.40000000000002,
3821,,Enter the Matrix,XB,2003.0,Action,,0.72,0.43,,,,,,61.12000000000002,
3824,,Medal of Honor: Rising Sun,XB,2003.0,Shooter,,0.76,0.36,,,,,,61.88000000000002,
3828,,The Lord of the Rings: The Return of the King,XB,2003.0,Action,,0.71,0.38,,,,,,62.59000000000002,
3829,,Counter-Strike,XB,2003.0,Shooter,,0.85,0.23,,,,,,63.44000000000002,
3832,,Madden NFL 2004,XB,2003.0,Sports,,1.02,0.02,,,,,,64.46000000000002,
3841,,SoulCalibur II,XB,2003.0,Fighting,,0.78,0.18,,,,,,65.24000000000002,
3849,,Prince of Persia: The Sands of Time,XB,2003.0,Action,,0.57,0.33,,,,,,65.81000000000002,
3855,,Sonic Heroes,XB,2003.0,Platform,,0.41,0.43,,,,,,66.22000000000001,
3858,,Crimson Skies: High Road to Revenge,XB,2003.0,Simulation,,0.65,0.19,,,,,,66.87000000000002,
3859,,Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,,0.61,0.24,,,,,,67.48000000000002,
3862,,Brute Force,XB,2003.0,Shooter,,0.62,0.18,,,,,,68.10000000000002,
3865,,FIFA Soccer 2004,XB,2003.0,Sports,,0.24,0.49,,,,,,68.34000000000002,
3879,,NBA Street Vol. 2,XB,2003.0,Sports,,0.62,0.04,,,,,,68.96000000000002,
3881,,Return to Castle Wolfenstein: Tides of War,XB,2003.0,Shooter,,0.49,0.16,,,,,,69.45000000000002,
3884,,Finding Nemo,XB,2003.0,Action,,0.48,0.16,,,,,,69.93000000000002,
3890,,Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,,0.47,0.15,,,,,,70.40000000000002,
3893,,Tiger Woods PGA Tour 2004,XB,2003.0,Sports,,0.47,0.13,,,,,,70.87000000000002,
3901,,Dead or Alive Xtreme Beach Volleyball,XB,2003.0,Sports,,0.36,0.08,,,,,,71.23000000000002,
3906,,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003.0,Platform,,0.45,0.1,,,,,,71.68000000000002,
3911,,The Sims: Bustin' Out,XB,2003.0,Simulation,,0.4,0.14,,,,,,72.08000000000003,
3912,,WWE Raw 2,XB,2003.0,Fighting,,0.43,0.11,,,,,,72.51000000000003,
3919,,Dance Dance Revolution Ultramix,XB,2003.0,Simulation,,0.42,0.11,,,,,,72.93000000000004,
3932,,NBA Live 2004,XB,2003.0,Sports,,0.44,0.04,,,,,,73.37000000000003,
3934,,Midnight Club II,XB,2003.0,Racing,,0.42,0.06,,,,,,73.79000000000003,
3947,,Top Spin,XB,2003.0,Sports,,0.36,0.08,,,,,,74.15000000000003,
3949,,Star Wars Jedi Knight: Jedi Academy,XB,2003.0,Shooter,,0.34,0.1,,,,,,74.49000000000004,
3951,,ATV Quad Power Racing 2,XB,2003.0,Racing,,0.36,0.07,,,,,,74.85000000000004,
3959,,NCAA Football 2004,XB,2003.0,Sports,,0.4,0.02,,,,,,75.25000000000004,
3964,,Midway Arcade Treasures,XB,2003.0,Misc,,0.33,0.08,,,,,,75.58000000000004,
3966,,The Sims,XB,2003.0,Simulation,,0.31,0.1,,,,,,75.89000000000004,
3981,,SSX 3,XB,2003.0,Sports,,0.29,0.08,,,,,,76.18000000000005,
3994,,ESPN NFL Football,XB,2003.0,Sports,,0.27,0.08,,,,,,76.45000000000005,
3999,,Cabela's Dangerous Hunts,XB,2003.0,Sports,,0.26,0.08,,,,,,76.71000000000005,
4004,,Xbox Music Mixer,XB,2003.0,Misc,,0.26,0.08,,,,,,76.97000000000006,
4012,,Hulk,XB,2003.0,Action,,0.25,0.07,,,,,,77.22000000000006,
4013,,Deus Ex: Invisible War,XB,2003.0,Shooter,,0.25,0.07,,,,,,77.47000000000006,
4024,,NFL Fever 2004,XB,2003.0,Sports,,0.24,0.07,,,,,,77.71000000000005,
4025,,Crash Nitro Kart,XB,2003.0,Racing,,0.24,0.07,,,,,,77.95000000000005,
4029,,Midtown Madness 3,XB,2003.0,Racing,,0.23,0.07,,,,,,78.18000000000005,
4037,,Teenage Mutant Ninja Turtles,XB,2003.0,Action,,0.22,0.06,,,,,,78.40000000000005,
4038,,AMF Bowling 2004,XB,2003.0,Sports,,0.22,0.06,,,,,,78.62000000000005,
4042,,Pirates of the Caribbean,XB,2003.0,Role-Playing,,0.22,0.06,,,,,,78.84000000000005,
4044,,Links 2004,XB,2003.0,Sports,,0.21,0.06,,,,,,79.05000000000004,
4052,,Kung Fu Chaos,XB,2003.0,Fighting,,0.21,0.06,,,,,,79.26000000000003,
4053,,Conflict: Desert Storm II - Back to Bagdhad,XB,2003.0,Shooter,,0.21,0.06,,,,,,79.47000000000003,
4060,,Tao Feng: Fist of the Lotus,XB,2003.0,Fighting,,0.21,0.06,,,,,,79.68000000000002,
4066,,ESPN NBA Basketball,XB,2003.0,Sports,,0.2,0.06,,,,,,79.88000000000002,
4068,,Outlaw Volleyball,XB,2003.0,Sports,,0.19,0.06,,,,,,80.07000000000002,
4069,,Dungeons & Dragons Heroes,XB,2003.0,Role-Playing,,0.19,0.06,,,,,,80.26000000000002,
4073,,Secret Weapons Over Normandy,XB,2003.0,Simulation,,0.19,0.05,,,,,,80.45000000000002,
4075,,Amped 2,XB,2003.0,Sports,,0.2,0.04,,,,,,80.65000000000002,
4077,,XIII,XB,2003.0,Shooter,,0.16,0.08,,,,,,80.81000000000002,
4082,,Corvette,XB,2003.0,Racing,,0.18,0.05,,,,,,80.99000000000002,
4083,,Burnout 2: Point of Impact,XB,2003.0,Racing,,0.18,0.05,,,,,,81.17000000000003,
4084,,Kill.Switch,XB,2003.0,Shooter,,0.18,0.05,,,,,,81.35000000000004,
4087,,NCAA March Madness 2004,XB,2003.0,Sports,,0.18,0.05,,,,,,81.53000000000004,
4089,,The Hobbit,XB,2003.0,Platform,,0.18,0.05,,,,,,81.71000000000005,
4094,,NASCAR Thunder 2004,XB,2003.0,Racing,,0.18,0.05,,,,,,81.89000000000006,
4095,,Starsky & Hutch,XB,2003.0,Racing,,0.17,0.05,,,,,,82.06000000000006,
4100,,Freedom Fighters,XB,2003.0,Shooter,,0.17,0.05,,,,,,82.23000000000006,
4101,,Soldier of Fortune II: Double Helix,XB,2003.0,Shooter,,0.17,0.05,,,,,,82.40000000000006,
4113,,MTV Celebrity Deathmatch,XB,2003.0,Fighting,,0.16,0.05,,,,,,82.56000000000006,
4117,,Cabela's Deer Hunt: 2004 Season,XB,2003.0,Sports,,0.16,0.05,,,,,,82.72000000000006,
4120,,X2: Wolverine's Revenge,XB,2003.0,Platform,,0.15,0.04,,,,,,82.87000000000006,
4127,,MVP Baseball 2003,XB,2003.0,Sports,,0.15,0.04,,,,,,83.02000000000007,
4129,,IHRA Drag Racing 2004,XB,2003.0,Racing,,0.15,0.04,,,,,,83.17000000000007,
4131,,Tetris Worlds (Online Edition),XB,2003.0,Puzzle,,0.15,0.04,,,,,,83.32000000000008,
4137,,Legacy of Kain: Defiance,XB,2003.0,Action,,0.14,0.04,,,,,,83.46000000000008,
4144,,Harry Potter: Quidditch World Cup,XB,2003.0,Sports,,0.14,0.04,,,,,,83.60000000000008,
4148,,Indiana Jones and the Emperor's Tomb,XB,2003.0,Action,,0.14,0.04,,,,,,83.74000000000008,
4156,,NHL 2004,XB,2003.0,Sports,,0.13,0.04,,,,,,83.87000000000008,
